Location1,Location2,Background,Accuracy,StdDev
actin,bud neck,actin,0.922,0.010295630140987002
actin,bud neck,bud neck,0.932,0.010999999999999998
actin,bud neck,cell periphery,0.9225,0.018096961070853866
actin,bud neck,cytoplasm,0.9404999999999999,0.009924716620639595
actin,bud neck,endosome,0.933,0.012980754985747167
actin,bud neck,ER,0.9265000000000001,0.00860232526704262
actin,bud neck,Golgi,0.9235,0.012103718436910202
actin,bud neck,mitochondrion,0.9339999999999999,0.012103718436910183
actin,bud neck,nucleus,0.93,0.010839741694339393
actin,bud neck,nuclear periphery,0.9275,0.006519202405202654
actin,bud neck,nucleolus,0.9274999999999999,0.019557607215607932
actin,bud neck,spindle pole,0.9324999999999999,0.007582875444051543
actin,bud neck,peroxisome,0.933,0.005787918451395093
actin,bud neck,vacuolar membrane,0.9315,0.01019803902718553
actin,bud neck,vacuole,0.9225000000000001,0.008514693182963207
actin,cell periphery,actin,0.9414999999999999,0.009433981132056577
actin,cell periphery,bud neck,0.9359999999999999,0.005147815070493491
actin,cell periphery,cell periphery,0.9265000000000001,0.008746427842267939
actin,cell periphery,cytoplasm,0.9335000000000001,0.008746427842267951
actin,cell periphery,endosome,0.9344999999999999,0.013638181696985868
actin,cell periphery,ER,0.9355,0.006782329983125274
actin,cell periphery,Golgi,0.9349999999999999,0.011180339887498938
actin,cell periphery,mitochondrion,0.9414999999999999,0.01978635893740937
actin,cell periphery,nucleus,0.933,0.008717797887081338
actin,cell periphery,nuclear periphery,0.933,0.01536229149573722
actin,cell periphery,nucleolus,0.9390000000000001,0.010440306508910556
actin,cell periphery,spindle pole,0.9455,0.011445523142259589
actin,cell periphery,peroxisome,0.9410000000000001,0.00956556323485447
actin,cell periphery,vacuolar membrane,0.9395,0.009669539802906843
actin,cell periphery,vacuole,0.945,0.012144957801491116
actin,cytoplasm,actin,0.9349999999999999,0.01360147050873544
actin,cytoplasm,bud neck,0.9265000000000001,0.015620499351813307
actin,cytoplasm,cell periphery,0.9139999999999999,0.009300537618869143
actin,cytoplasm,cytoplasm,0.9195,0.014611639196202463
actin,cytoplasm,endosome,0.9135,0.010319883720275154
actin,cytoplasm,ER,0.9255000000000001,0.0060000000000000105
actin,cytoplasm,Golgi,0.9279999999999999,0.01053565375285273
actin,cytoplasm,mitochondrion,0.9315,0.014882876066137207
actin,cytoplasm,nucleus,0.9269999999999999,0.013638181696985831
actin,cytoplasm,nuclear periphery,0.9219999999999999,0.015116216457830949
actin,cytoplasm,nucleolus,0.9315000000000001,0.008455767262643868
actin,cytoplasm,spindle pole,0.9189999999999999,0.013656500283747658
actin,cytoplasm,peroxisome,0.9275,0.009486832980505141
actin,cytoplasm,vacuolar membrane,0.9164999999999999,0.016324827717314503
actin,cytoplasm,vacuole,0.9195,0.009539392014169444
actin,endosome,actin,0.9075,0.021447610589527214
actin,endosome,bud neck,0.9184999999999999,0.009949874371066215
actin,endosome,cell periphery,0.9,0.010839741694339385
actin,endosome,cytoplasm,0.8939999999999999,0.007348469228349541
actin,endosome,endosome,0.9125,0.004999999999999982
actin,endosome,ER,0.915,0.015247950681976935
actin,endosome,Golgi,0.9110000000000001,0.0058309518948453055
actin,endosome,mitochondrion,0.924,0.007516648189186443
actin,endosome,nucleus,0.9019999999999999,0.013453624047073705
actin,endosome,nuclear periphery,0.9179999999999999,0.01469693845669906
actin,endosome,nucleolus,0.907,0.015684387141358138
actin,endosome,spindle pole,0.8945000000000001,0.01469693845669908
actin,endosome,peroxisome,0.8954999999999999,0.006964194138592089
actin,endosome,vacuolar membrane,0.9019999999999999,0.016232683080747955
actin,endosome,vacuole,0.9215,0.011135528725660033
actin,ER,actin,0.9409999999999998,0.007176350047203642
actin,ER,bud neck,0.9265000000000001,0.009165151389911665
actin,ER,cell periphery,0.9179999999999999,0.015763882770434435
actin,ER,cytoplasm,0.922,0.004000000000000012
actin,ER,endosome,0.9335000000000001,0.009300537618869124
actin,ER,ER,0.9285,0.013838352503098044
actin,ER,Golgi,0.931,0.010074720839804948
actin,ER,mitochondrion,0.9334999999999999,0.01200000000000001
actin,ER,nucleus,0.933,0.00748331477354788
actin,ER,nuclear periphery,0.9289999999999999,0.007176350047203638
actin,ER,nucleolus,0.9225,0.015732132722552285
actin,ER,spindle pole,0.9265000000000001,0.007516648189186449
actin,ER,peroxisome,0.917,0.010416333327999853
actin,ER,vacuolar membrane,0.9124999999999999,0.009617692030835703
actin,ER,vacuole,0.9185000000000001,0.013472193585307487
actin,Golgi,actin,0.9165000000000001,0.02136586061922153
actin,Golgi,bud neck,0.916,0.0122065556157337
actin,Golgi,cell periphery,0.9165000000000001,0.007348469228349554
actin,Golgi,cytoplasm,0.9254999999999999,0.017277152543171
actin,Golgi,endosome,0.9125,0.013038404810405314
actin,Golgi,ER,0.9115,0.009823441352194272
actin,Golgi,Golgi,0.9075,0.008366600265340762
actin,Golgi,mitochondrion,0.9040000000000001,0.01309580085370881
actin,Golgi,nucleus,0.9015000000000001,0.012206555615733698
actin,Golgi,nuclear periphery,0.915,0.007905694150420941
actin,Golgi,nucleolus,0.9145000000000001,0.009924716620639597
actin,Golgi,spindle pole,0.9105000000000001,0.012083045973594567
actin,Golgi,peroxisome,0.9065,0.010074720839804971
actin,Golgi,vacuolar membrane,0.907,0.011661903789690611
actin,Golgi,vacuole,0.924,0.00969535971483268
actin,mitochondrion,actin,0.9295,0.007314369419163888
actin,mitochondrion,bud neck,0.9184999999999999,0.01055935604097144
actin,mitochondrion,cell periphery,0.9195,0.014265342617687143
actin,mitochondrion,cytoplasm,0.923,0.011768602295939803
actin,mitochondrion,endosome,0.9185000000000001,0.008154753215150077
actin,mitochondrion,ER,0.9275,0.013509256086106288
actin,mitochondrion,Golgi,0.9165000000000001,0.011683321445547925
actin,mitochondrion,mitochondrion,0.9324999999999999,0.014404860290887932
actin,mitochondrion,nucleus,0.9199999999999999,0.01850675552332173
actin,mitochondrion,nuclear periphery,0.921,0.007516648189186449
actin,mitochondrion,nucleolus,0.925,0.006324555320336764
actin,mitochondrion,spindle pole,0.923,0.012786711852544434
actin,mitochondrion,peroxisome,0.9225000000000001,0.008803408430829492
actin,mitochondrion,vacuolar membrane,0.925,0.009486832980505152
actin,mitochondrion,vacuole,0.923,0.013171939872319502
actin,nucleus,actin,0.9525,0.010368220676663875
actin,nucleus,bud neck,0.9644999999999999,0.010885770528538645
actin,nucleus,cell periphery,0.9524999999999999,0.004183300132670395
actin,nucleus,cytoplasm,0.961,0.00681909084849293
actin,nucleus,endosome,0.9574999999999999,0.005700877125495695
actin,nucleus,ER,0.968,0.011224972160321828
actin,nucleus,Golgi,0.958,0.006204836822995424
actin,nucleus,mitochondrion,0.9649999999999999,0.011937336386313314
actin,nucleus,nucleus,0.9655000000000001,0.00731436941916389
actin,nucleus,nuclear periphery,0.9535,0.005385164807134518
actin,nucleus,nucleolus,0.9635000000000001,0.008602325267042634
actin,nucleus,spindle pole,0.9584999999999999,0.006819090848492936
actin,nucleus,peroxisome,0.9625,0.007905694150420941
actin,nucleus,vacuolar membrane,0.9564999999999999,0.005147815070493501
actin,nucleus,vacuole,0.9560000000000001,0.010319883720275131
actin,nuclear periphery,actin,0.968,0.005787918451395135
actin,nuclear periphery,bud neck,0.9645000000000001,0.009669539802906876
actin,nuclear periphery,cell periphery,0.9584999999999999,0.013379088160259628
actin,nuclear periphery,cytoplasm,0.9605,0.007968688725254624
actin,nuclear periphery,endosome,0.9690000000000001,0.010793516572461474
actin,nuclear periphery,ER,0.969,0.001999999999999996
actin,nuclear periphery,Golgi,0.9640000000000001,0.012509996003196808
actin,nuclear periphery,mitochondrion,0.97,0.009617692030835692
actin,nuclear periphery,nucleus,0.9605,0.0065954529791364845
actin,nuclear periphery,nuclear periphery,0.962,0.0029154759474226376
actin,nuclear periphery,nucleolus,0.966,0.005830951894845307
actin,nuclear periphery,spindle pole,0.9635000000000001,0.010074720839804948
actin,nuclear periphery,peroxisome,0.9635,0.011575836902790253
actin,nuclear periphery,vacuolar membrane,0.9644999999999999,0.01077032961426901
actin,nuclear periphery,vacuole,0.9630000000000001,0.007314369419163886
actin,nucleolus,actin,0.9635,0.007176350047203649
actin,nucleolus,bud neck,0.9550000000000001,0.00908295106229247
actin,nucleolus,cell periphery,0.9555,0.006782329983125285
actin,nucleolus,cytoplasm,0.975,0.0038729833462074204
actin,nucleolus,endosome,0.9615,0.008154753215150036
actin,nucleolus,ER,0.9629999999999999,0.004301162633521301
actin,nucleolus,Golgi,0.962,0.00578791845139512
actin,nucleolus,mitochondrion,0.969,0.004636809247747849
actin,nucleolus,nucleus,0.962,0.0048476798574163356
actin,nucleolus,nuclear periphery,0.9630000000000001,0.003316624790355396
actin,nucleolus,nucleolus,0.9665000000000001,0.002999999999999988
actin,nucleolus,spindle pole,0.966,0.012103718436910231
actin,nucleolus,peroxisome,0.9629999999999999,0.010999999999999998
actin,nucleolus,vacuolar membrane,0.9605,0.009000000000000024
actin,nucleolus,vacuole,0.9625,0.004472135954999571
actin,spindle pole,actin,0.944,0.008000000000000005
actin,spindle pole,bud neck,0.9425000000000001,0.015329709716755865
actin,spindle pole,cell periphery,0.9225,0.013133925536563696
actin,spindle pole,cytoplasm,0.9460000000000001,0.005612486080160904
actin,spindle pole,endosome,0.9395,0.011113055385446425
actin,spindle pole,ER,0.9369999999999999,0.010653637876331234
actin,spindle pole,Golgi,0.9280000000000002,0.0142653426176871
actin,spindle pole,mitochondrion,0.945,0.005916079783099603
actin,spindle pole,nucleus,0.929,0.010793516572461448
actin,spindle pole,nuclear periphery,0.9404999999999999,0.004582575694955796
