Location1,Location2,Background,Accuracy,StdDev
actin,bud neck,actin,0.8605,0.012589678312014158
actin,bud neck,bud neck,0.8620000000000001,0.01503329637837288
actin,bud neck,cell periphery,0.8385000000000001,0.023216373532487778
actin,bud neck,cytoplasm,0.8370000000000001,0.009407443861113394
actin,bud neck,endosome,0.8525,0.017958284996067993
actin,bud neck,ER,0.8404999999999999,0.01683745824048276
actin,bud neck,Golgi,0.8385,0.018000000000000016
actin,bud neck,mitochondrion,0.8495000000000001,0.015684387141358138
actin,bud neck,nucleus,0.883,0.012288205727444474
actin,bud neck,nuclear periphery,0.86,0.011937336386313323
actin,bud neck,nucleolus,0.8935000000000001,0.018069310999592653
actin,bud neck,spindle pole,0.874,0.01401784576887617
actin,bud neck,peroxisome,0.861,0.014195069566578395
actin,bud neck,vacuolar membrane,0.8644999999999999,0.013453624047073707
actin,bud neck,vacuole,0.8425,0.012942179105544774
actin,cell periphery,actin,0.8665,0.002549509756796386
actin,cell periphery,bud neck,0.8764999999999998,0.007842193570679038
actin,cell periphery,cell periphery,0.8755,0.01391042774324353
actin,cell periphery,cytoplasm,0.8545,0.016000000000000025
actin,cell periphery,endosome,0.861,0.013095800853708772
actin,cell periphery,ER,0.8835000000000001,0.017649362594722787
actin,cell periphery,Golgi,0.8734999999999999,0.019974984355438184
actin,cell periphery,mitochondrion,0.875,0.01431782106327632
actin,cell periphery,nucleus,0.8959999999999999,0.006442049363362546
actin,cell periphery,nuclear periphery,0.876,0.012206555615733677
actin,cell periphery,nucleolus,0.8875,0.01942935922772546
actin,cell periphery,spindle pole,0.881,0.011683321445547911
actin,cell periphery,peroxisome,0.8760000000000001,0.009695359714832628
actin,cell periphery,vacuolar membrane,0.8850000000000001,0.016124515496597068
actin,cell periphery,vacuole,0.8734999999999999,0.01854723699099142
actin,cytoplasm,actin,0.861,0.016552945357246864
actin,cytoplasm,bud neck,0.861,0.007681145747868595
actin,cytoplasm,cell periphery,0.8620000000000001,0.01668831926827862
actin,cytoplasm,cytoplasm,0.8634999999999999,0.014628738838327812
actin,cytoplasm,endosome,0.8699999999999999,0.005244044240850773
actin,cytoplasm,ER,0.859,0.01868154169226941
actin,cytoplasm,Golgi,0.851,0.011467344941179727
actin,cytoplasm,mitochondrion,0.858,0.020334699407662755
actin,cytoplasm,nucleus,0.8734999999999999,0.011575836902790218
actin,cytoplasm,nuclear periphery,0.8595,0.010416333327999822
actin,cytoplasm,nucleolus,0.8649999999999999,0.020916500663351892
actin,cytoplasm,spindle pole,0.8620000000000001,0.010885770528538638
actin,cytoplasm,peroxisome,0.8720000000000001,0.01238951169336386
actin,cytoplasm,vacuolar membrane,0.8620000000000001,0.017131841699011805
actin,cytoplasm,vacuole,0.8625,0.018574175621006727
actin,endosome,actin,0.7899999999999999,0.008803408430829492
actin,endosome,bud neck,0.8055,0.016537835408541222
actin,endosome,cell periphery,0.7835,0.028922309727959148
actin,endosome,cytoplasm,0.7785,0.024677925358506134
actin,endosome,endosome,0.818,0.014089002803605345
actin,endosome,ER,0.7839999999999999,0.02442334948363962
actin,endosome,Golgi,0.7905,0.008276472678623437
actin,endosome,mitochondrion,0.8074999999999999,0.009617692030835664
actin,endosome,nucleus,0.8324999999999999,0.015411035007422446
actin,endosome,nuclear periphery,0.8125,0.023979157616563575
actin,endosome,nucleolus,0.843,0.008860022573334675
actin,endosome,spindle pole,0.82,0.01767766952966367
actin,endosome,peroxisome,0.8089999999999999,0.013190905958272894
actin,endosome,vacuolar membrane,0.8014999999999999,0.01200000000000001
actin,endosome,vacuole,0.7979999999999999,0.01989974874213239
actin,ER,actin,0.8545,0.010770329614269021
actin,ER,bud neck,0.853,0.011224972160321834
actin,ER,cell periphery,0.8554999999999999,0.01592168332809067
actin,ER,cytoplasm,0.859,0.005612486080160911
actin,ER,endosome,0.8700000000000001,0.010368220676663847
actin,ER,ER,0.8550000000000001,0.01254990039801114
actin,ER,Golgi,0.8620000000000001,0.012489995996796786
actin,ER,mitochondrion,0.8370000000000001,0.014089002803605389
actin,ER,nucleus,0.8654999999999999,0.01749285568453587
actin,ER,nuclear periphery,0.8460000000000001,0.010198039027185569
actin,ER,nucleolus,0.8620000000000001,0.008276472678623413
actin,ER,spindle pole,0.866,0.019659603251337494
actin,ER,peroxisome,0.86,0.008215838362577492
actin,ER,vacuolar membrane,0.8594999999999999,0.02556364606232843
actin,ER,vacuole,0.8560000000000001,0.006819090848492931
actin,Golgi,actin,0.7835,0.021424285285628536
actin,Golgi,bud neck,0.7929999999999999,0.021118712081942898
actin,Golgi,cell periphery,0.7715,0.012409673645990849
actin,Golgi,cytoplasm,0.772,0.009273618495495713
actin,Golgi,endosome,0.8075000000000001,0.014832396974191303
actin,Golgi,ER,0.8084999999999999,0.009565563234854484
actin,Golgi,Golgi,0.8175000000000001,0.013964240043768918
actin,Golgi,mitochondrion,0.7995,0.01846618531261937
actin,Golgi,nucleus,0.825,0.007582875444051551
actin,Golgi,nuclear periphery,0.8035,0.017146428199482228
actin,Golgi,nucleolus,0.828,0.028257742301889606
actin,Golgi,spindle pole,0.8109999999999999,0.00463680924774783
actin,Golgi,peroxisome,0.8045,0.006964194138592075
actin,Golgi,vacuolar membrane,0.8030000000000002,0.007141428428542838
actin,Golgi,vacuole,0.805,0.009082951062292458
actin,mitochondrion,actin,0.7989999999999999,0.03136877428271625
actin,mitochondrion,bud neck,0.791,0.012708265027138819
actin,mitochondrion,cell periphery,0.7809999999999999,0.013747727084867536
actin,mitochondrion,cytoplasm,0.7915000000000001,0.025961509971494344
actin,mitochondrion,endosome,0.8074999999999999,0.019039432764659782
actin,mitochondrion,ER,0.7820000000000001,0.006964194138592056
actin,mitochondrion,Golgi,0.8160000000000001,0.009433981132056608
actin,mitochondrion,mitochondrion,0.8025,0.013784048752090203
actin,mitochondrion,nucleus,0.819,0.012103718436910198
actin,mitochondrion,nuclear periphery,0.7925,0.013874436925511605
actin,mitochondrion,nucleolus,0.842,0.02352658071203719
actin,mitochondrion,spindle pole,0.8285,0.008000000000000007
actin,mitochondrion,peroxisome,0.8139999999999998,0.01984943324127921
actin,mitochondrion,vacuolar membrane,0.8109999999999999,0.011575836902790225
actin,mitochondrion,vacuole,0.7995,0.02181742422927141
actin,nucleus,actin,0.9209999999999999,0.008000000000000005
actin,nucleus,bud neck,0.917,0.015116216457830983
actin,nucleus,cell periphery,0.9010000000000001,0.013472193585307473
actin,nucleus,cytoplasm,0.905,0.014404860290887927
actin,nucleus,endosome,0.9099999999999999,0.020062402647738873
actin,nucleus,ER,0.9120000000000001,0.018466185312619385
actin,nucleus,Golgi,0.921,0.011683321445547925
actin,nucleus,mitochondrion,0.9185000000000001,0.008888194417315616
actin,nucleus,nucleus,0.9225,0.005244044240850773
actin,nucleus,nuclear periphery,0.9164999999999999,0.016401219466856725
actin,nucleus,nucleolus,0.9185000000000001,0.009300537618869167
actin,nucleus,spindle pole,0.9205,0.006403124237432868
actin,nucleus,peroxisome,0.9175000000000001,0.012942179105544809
actin,nucleus,vacuolar membrane,0.9199999999999999,0.012549900398011158
actin,nucleus,vacuole,0.9164999999999999,0.013564659966250517
actin,nuclear periphery,actin,0.9084999999999999,0.017363755354185367
actin,nuclear periphery,bud neck,0.9095000000000001,0.012589678312014171
actin,nuclear periphery,cell periphery,0.9025000000000001,0.01449137674618944
actin,nuclear periphery,cytoplasm,0.9094999999999999,0.010885770528538636
actin,nuclear periphery,endosome,0.9189999999999999,0.009823441352194245
actin,nuclear periphery,ER,0.9119999999999999,0.007648529270389176
actin,nuclear periphery,Golgi,0.9125,0.010954451150103331
actin,nuclear periphery,mitochondrion,0.917,0.009273618495495704
actin,nuclear periphery,nucleus,0.9225000000000001,0.015572411502397418
actin,nuclear periphery,nuclear periphery,0.913,0.00781024967590665
actin,nuclear periphery,nucleolus,0.9345000000000001,0.009669539802906843
actin,nuclear periphery,spindle pole,0.9205,0.013910427743243584
