Location1,Location2,Accuracy,StdDev
endosome,peroxisome,0.9029999999999999,0.00731436941916389
endosome,vacuolar membrane,0.8720000000000001,0.014089002803605356
endosome,vacuole,0.8619999999999999,0.012489995996796807
ER,Golgi,0.9289999999999999,0.012409673645990838
ER,mitochondrion,0.923,0.019962464777677148
ER,nucleus,0.9625,0.0052440442408507515
ER,nuclear periphery,0.9469999999999998,0.00812403840463595
ER,nucleolus,0.9810000000000001,0.005385164807134521
ER,spindle pole,0.9564999999999999,0.00930053761886913
ER,peroxisome,0.9555,0.00578791845139512
ER,vacuolar membrane,0.9120000000000001,0.015198684153570691
ER,vacuole,0.8885,0.018547236990991388
Golgi,mitochondrion,0.8765000000000001,0.007
Golgi,nucleus,0.969,0.004636809247747849
Golgi,nuclear periphery,0.9715,0.004636809247747839
Golgi,nucleolus,0.975,0.005700877125495695
Golgi,spindle pole,0.9525,0.009874208829065752
Golgi,peroxisome,0.8719999999999999,0.014265342617687094
Golgi,vacuolar membrane,0.9119999999999999,0.014352700094407348
Golgi,vacuole,0.8939999999999999,0.017146428199482245
mitochondrion,nucleus,0.9280000000000002,0.007483314773547889
mitochondrion,nuclear periphery,0.9450000000000001,0.00880340843082948
mitochondrion,nucleolus,0.945,0.009486832980505129
mitochondrion,spindle pole,0.9259999999999999,0.0033911649915626275
mitochondrion,peroxisome,0.8934999999999998,0.016552945357246857
mitochondrion,vacuolar membrane,0.905,0.01140175425099139
mitochondrion,vacuole,0.9099999999999999,0.01923538406167137
nucleus,nuclear periphery,0.9600000000000002,0.01172603939955859
nucleus,nucleolus,0.9199999999999999,0.01172603939955858
nucleus,spindle pole,0.931,0.011467344941179696
nucleus,peroxisome,0.9709999999999999,0.012103718436910231
nucleus,vacuolar membrane,0.9655000000000001,0.004847679857416359
nucleus,vacuole,0.938,0.011000000000000008
nuclear periphery,nucleolus,0.9544999999999998,0.009669539802906876
nuclear periphery,spindle pole,0.953,0.008276472678623439
nuclear periphery,peroxisome,0.9724999999999999,0.0035355339059327407
nuclear periphery,vacuolar membrane,0.9265000000000001,0.005830951894845304
nuclear periphery,vacuole,0.9604999999999999,0.010416333327999846
nucleolus,spindle pole,0.9195,0.018533752992850653
nucleolus,peroxisome,0.9730000000000001,0.008124038404635967
nucleolus,vacuolar membrane,0.9625,0.010839741694339393
nucleolus,vacuole,0.9734999999999999,0.009300537618869124
spindle pole,peroxisome,0.922,0.0143527000944073
spindle pole,vacuolar membrane,0.9575000000000001,0.012144957801491127
spindle pole,vacuole,0.9380000000000001,0.011335784048754622
peroxisome,vacuolar membrane,0.97,0.008944271909999173
peroxisome,vacuole,0.9574999999999999,0.012041594578792307
vacuolar membrane,vacuole,0.8615,0.014195069566578363
