Location1,Location2,Accuracy,StdDev
actin,bud neck,0.966,0.01124722187920198
actin,cell periphery,0.975,0.008215838362577492
actin,cytoplasm,0.9720000000000001,0.006204836822995444
actin,endosome,0.937,0.008276472678623402
actin,ER,0.9644999999999999,0.01017349497468791
actin,Golgi,0.9175000000000001,0.01431782106327635
actin,mitochondrion,0.9359999999999999,0.007681145747868605
actin,nucleus,0.9815000000000002,0.002549509756796386
actin,nuclear periphery,0.9785,0.006819090848492936
actin,nucleolus,0.982,0.01004987562112089
actin,spindle pole,0.9605,0.008276472678623454
actin,peroxisome,0.8630000000000001,0.017986105748604975
actin,vacuolar membrane,0.977,0.0057879184513951005
actin,vacuole,0.9680000000000002,0.005567764362830022
bud neck,cell periphery,0.9574999999999999,0.013322912594474207
bud neck,cytoplasm,0.876,0.011022703842524309
bud neck,endosome,0.931,0.004636809247747873
bud neck,ER,0.9265000000000001,0.007842193570679055
bud neck,Golgi,0.9460000000000001,0.004898979485566363
bud neck,mitochondrion,0.905,0.015652475842498556
bud neck,nucleus,0.9375,0.009617692030835652
bud neck,nuclear periphery,0.9605,0.00731436941916389
bud neck,nucleolus,0.974,0.006442049363362563
bud neck,spindle pole,0.8940000000000001,0.015297058540778367
bud neck,peroxisome,0.9385,0.004062019202317971
bud neck,vacuolar membrane,0.9564999999999999,0.010793516572461448
bud neck,vacuole,0.8619999999999999,0.016232683080747927
cell periphery,cytoplasm,0.958,0.006964194138592073
cell periphery,endosome,0.9555,0.0029154759474226757
cell periphery,ER,0.9045,0.008999999999999998
cell periphery,Golgi,0.9475,0.0035355339059327407
cell periphery,mitochondrion,0.9475,0.011180339887498923
cell periphery,nucleus,0.9780000000000001,0.003316624790355396
cell periphery,nuclear periphery,0.9790000000000001,0.006244997998398393
cell periphery,nucleolus,0.99,0.0035355339059327407
cell periphery,spindle pole,0.976,0.008746427842267968
cell periphery,peroxisome,0.9649999999999999,0.007071067811865481
cell periphery,vacuolar membrane,0.9505000000000001,0.008124038404635934
cell periphery,vacuole,0.9285,0.00888819441731558
cytoplasm,endosome,0.944,0.011357816691600551
cytoplasm,ER,0.9265000000000001,0.007516648189186439
cytoplasm,Golgi,0.9574999999999999,0.0052440442408507515
cytoplasm,mitochondrion,0.9259999999999999,0.010198039027185565
cytoplasm,nucleus,0.9545,0.007314369419163902
cytoplasm,nuclear periphery,0.978,0.0065954529791364645
cytoplasm,nucleolus,0.9775,0.004743416490252573
cytoplasm,spindle pole,0.9435,0.004636809247747849
cytoplasm,peroxisome,0.9674999999999999,0.0050000000000000044
cytoplasm,vacuolar membrane,0.946,0.004636809247747839
cytoplasm,vacuole,0.8885,0.022056745000112777
endosome,ER,0.931,0.020285462775100776
endosome,Golgi,0.8300000000000001,0.010000000000000024
endosome,mitochondrion,0.8925000000000001,0.014662878298615192
endosome,nucleus,0.9510000000000002,0.0046368092477478634
endosome,nuclear periphery,0.9470000000000001,0.005567764362830031
endosome,nucleolus,0.9635,0.005147815070493487
endosome,spindle pole,0.9030000000000001,0.013546217184144062
