Location1,Location2,Background,Accuracy,StdDev
actin,bud neck,actin,0.7855000000000001,0.019000000000000027
actin,bud neck,bud neck,0.7855000000000001,0.010885770528538624
actin,bud neck,cell periphery,0.7515000000000001,0.02782085548648712
actin,bud neck,cytoplasm,0.753,0.012980754985747151
actin,bud neck,endosome,0.7865,0.014195069566578416
actin,bud neck,ER,0.78,0.02549509756796391
actin,bud neck,Golgi,0.77,0.011510864433221368
actin,bud neck,mitochondrion,0.7555000000000001,0.029000000000000022
actin,bud neck,nucleus,0.8045,0.009407443861113368
actin,bud neck,nuclear periphery,0.784,0.02522895162308573
actin,bud neck,nucleolus,0.8029999999999999,0.015999999999999997
actin,bud neck,spindle pole,0.7929999999999999,0.030878795313289024
actin,bud neck,peroxisome,0.7769999999999999,0.010653637876331288
actin,bud neck,vacuolar membrane,0.7949999999999999,0.019811612756158947
actin,bud neck,vacuole,0.7695000000000001,0.023097618924902183
actin,cell periphery,actin,0.8200000000000001,0.017818529681205456
actin,cell periphery,bud neck,0.8215,0.021886068628239275
actin,cell periphery,cell periphery,0.8175000000000001,0.01717556403731764
actin,cell periphery,cytoplasm,0.8255000000000001,0.009273618495495711
actin,cell periphery,endosome,0.819,0.01210371843691019
actin,cell periphery,ER,0.8414999999999999,0.019078784028338947
actin,cell periphery,Golgi,0.8240000000000001,0.013838352503098044
actin,cell periphery,mitochondrion,0.8320000000000001,0.022715633383201112
actin,cell periphery,nucleus,0.8370000000000001,0.015524174696260046
actin,cell periphery,nuclear periphery,0.8305,0.015604486534327238
actin,cell periphery,nucleolus,0.8395000000000001,0.012980754985747201
actin,cell periphery,spindle pole,0.8285,0.017219175357722553
actin,cell periphery,peroxisome,0.8399999999999999,0.01294217910554481
actin,cell periphery,vacuolar membrane,0.8305,0.010535653752852729
actin,cell periphery,vacuole,0.8310000000000001,0.02294558781116754
actin,cytoplasm,actin,0.7975,0.008803408430829518
actin,cytoplasm,bud neck,0.786,0.011683321445547906
actin,cytoplasm,cell periphery,0.7735000000000001,0.018343936327844174
actin,cytoplasm,cytoplasm,0.7869999999999999,0.023895606290697056
actin,cytoplasm,endosome,0.8005000000000001,0.01756416807025029
actin,cytoplasm,ER,0.7969999999999999,0.03561600763701622
actin,cytoplasm,Golgi,0.808,0.011768602295939803
actin,cytoplasm,mitochondrion,0.7955,0.011979148550710958
actin,cytoplasm,nucleus,0.8314999999999999,0.020591260281974007
actin,cytoplasm,nuclear periphery,0.792,0.011000000000000017
actin,cytoplasm,nucleolus,0.826,0.02267156809750925
actin,cytoplasm,spindle pole,0.819,0.024269322199023204
actin,cytoplasm,peroxisome,0.8004999999999999,0.011661903789690578
