Location1,Location2,Accuracy,StdDev
actin,bud neck,0.8744999999999999,0.007314369419163868
actin,cell periphery,0.9115,0.00902773504263391
actin,cytoplasm,0.8975,0.009486832980505129
actin,endosome,0.885,0.02067607312813535
actin,ER,0.8665,0.007176350047203657
actin,Golgi,0.8690000000000001,0.008455767262643866
actin,mitochondrion,0.8335000000000001,0.01677796173556251
actin,nucleus,0.925,0.011937336386313314
actin,nuclear periphery,0.916,0.015297058540778348
actin,nucleolus,0.9470000000000001,0.0053385391260156526
actin,spindle pole,0.9,0.008803408430829506
actin,peroxisome,0.7719999999999999,0.030512292604784705
actin,vacuolar membrane,0.9395,0.014265342617687101
actin,vacuole,0.9245000000000001,0.0018708286933869782
bud neck,cell periphery,0.875,0.011401754250991354
bud neck,cytoplasm,0.7474999999999999,0.012144957801491107
bud neck,endosome,0.865,0.011510864433221328
bud neck,ER,0.8065,0.027459060435491987
bud neck,Golgi,0.8474999999999999,0.005700877125495695
bud neck,mitochondrion,0.805,0.014491376746189456
bud neck,nucleus,0.882,0.011554220008291361
bud neck,nuclear periphery,0.9075,0.016201851746019673
bud neck,nucleolus,0.944,0.0117898261225516
bud neck,spindle pole,0.836,0.02332380757938123
bud neck,peroxisome,0.8800000000000001,0.007905694150420948
bud neck,vacuolar membrane,0.906,0.017507141400011614
bud neck,vacuole,0.7965,0.00874642784226795
cell periphery,cytoplasm,0.8734999999999999,0.013838352503098028
cell periphery,endosome,0.9120000000000001,0.011335784048754648
cell periphery,ER,0.8265,0.023906066175763834
cell periphery,Golgi,0.8905000000000001,0.015033296378372902
cell periphery,mitochondrion,0.8899999999999999,0.031503968004046735
cell periphery,nucleus,0.9299999999999999,0.019170289512680804
cell periphery,nuclear periphery,0.9434999999999999,0.010908712114635701
cell periphery,nucleolus,0.9595,0.007483314773547889
cell periphery,spindle pole,0.9189999999999999,0.010198039027185591
cell periphery,peroxisome,0.913,0.011445523142259589
cell periphery,vacuolar membrane,0.9260000000000002,0.010559356040971423
cell periphery,vacuole,0.8585,0.0235902522241709
cytoplasm,endosome,0.8474999999999999,0.014577379737113264
cytoplasm,ER,0.8005000000000001,0.022660538387249334
cytoplasm,Golgi,0.8455,0.014781745499094485
cytoplasm,mitochondrion,0.8309999999999998,0.009823441352194245
cytoplasm,nucleus,0.8785000000000001,0.01007472083980492
