Location1,Location2,Accuracy,StdDev
actin,bud neck,0.945,0.004743416490252597
actin,cell periphery,0.96,0.00612372435695796
actin,cytoplasm,0.9445,0.008426149773176324
actin,endosome,0.9550000000000001,0.007071067811865474
actin,ER,0.9410000000000001,0.012409673645990826
actin,Golgi,0.9395,0.015280706789936118
actin,mitochondrion,0.9225,0.010606601717798243
actin,nucleus,0.9685,0.010198039027185565
actin,nuclear periphery,0.9845,0.006595452979136447
actin,nucleolus,0.9855,0.0029154759474226376
actin,spindle pole,0.9640000000000001,0.0076811457478686215
actin,peroxisome,0.8775000000000001,0.02230470802319545
actin,vacuolar membrane,0.9754999999999999,0.005999999999999999
actin,vacuole,0.9644999999999999,0.006204836822995423
bud neck,cell periphery,0.9235,0.00956556323485447
bud neck,cytoplasm,0.8140000000000001,0.012609520212918498
bud neck,endosome,0.9199999999999999,0.014577379737113226
bud neck,ER,0.852,0.013076696830622035
bud neck,Golgi,0.9215,0.00874642784226795
bud neck,mitochondrion,0.8675,0.016431676725154994
bud neck,nucleus,0.8979999999999999,0.02111871208194286
bud neck,nuclear periphery,0.954,0.010074720839804936
bud neck,nucleolus,0.9705,0.004301162633521307
bud neck,spindle pole,0.8925000000000001,0.017958284996067976
bud neck,peroxisome,0.9045,0.003999999999999995
bud neck,vacuolar membrane,0.9410000000000001,0.013838352503098037
bud neck,vacuole,0.8539999999999999,0.016170961628796235
cell periphery,cytoplasm,0.9315,0.007516648189186463
cell periphery,endosome,0.95,0.006123724356957959
cell periphery,ER,0.8765000000000001,0.019274335267396376
cell periphery,Golgi,0.9540000000000001,0.012308533625091163
cell periphery,mitochondrion,0.9360000000000002,0.006442049363362546
cell periphery,nucleus,0.9664999999999999,0.008602325267042634
cell periphery,nuclear periphery,0.976,0.008602325267042648
cell periphery,nucleolus,0.9865,0.004898979485566363
cell periphery,spindle pole,0.9720000000000001,0.0029154759474226376
cell periphery,peroxisome,0.9484999999999999,0.006819090848492937
cell periphery,vacuolar membrane,0.9644999999999999,0.008124038404635967
cell periphery,vacuole,0.9069999999999998,0.013820274961085248
