Location1,Location2,Accuracy,StdDev
cytoplasm,endosome,0.8875,0.009082951062292496
cytoplasm,ER,0.8574999999999999,0.010000000000000004
cytoplasm,Golgi,0.9145,0.015116216457830985
cytoplasm,mitochondrion,0.85,0.028195744359743383
cytoplasm,nucleus,0.9015000000000001,0.019659603251337487
cytoplasm,nuclear periphery,0.9545,0.004847679857416331
cytoplasm,nucleolus,0.958,0.011554220008291361
cytoplasm,spindle pole,0.8940000000000001,0.01290348790056395
cytoplasm,peroxisome,0.9275,0.010488088481701477
cytoplasm,vacuolar membrane,0.9199999999999999,0.010368220676663896
cytoplasm,vacuole,0.8545,0.0176351920885484
endosome,ER,0.8955,0.010049875621120908
endosome,Golgi,0.8345,0.013729530217745997
endosome,mitochondrion,0.8515,0.011135528725660045
endosome,nucleus,0.9035,0.014798648586948744
endosome,nuclear periphery,0.9205,0.021354156504062628
endosome,nucleolus,0.9540000000000001,0.004636809247747873
endosome,spindle pole,0.908,0.01004987562112089
endosome,peroxisome,0.9135,0.013472193585307502
endosome,vacuolar membrane,0.8424999999999999,0.014317821063276366
endosome,vacuole,0.8385,0.018343936327844146
ER,Golgi,0.905,0.013509256086106333
ER,mitochondrion,0.8665,0.01984943324127923
ER,nucleus,0.9265000000000001,0.013190905958272884
ER,nuclear periphery,0.9235,0.008455767262643892
ER,nucleolus,0.9725000000000001,0.003162277660168382
ER,spindle pole,0.9280000000000002,0.012786711852544416
ER,peroxisome,0.9105000000000001,0.005787918451395097
ER,vacuolar membrane,0.922,0.014439529078193653
ER,vacuole,0.8274999999999999,0.014577379737113278
Golgi,mitochondrion,0.8380000000000001,0.014352700094407348
Golgi,nucleus,0.943,0.013546217184144055
Golgi,nuclear periphery,0.962,0.013171939872319495
Golgi,nucleolus,0.968,0.005787918451395135
Golgi,spindle pole,0.931,0.012103718436910181
Golgi,peroxisome,0.9029999999999999,0.009669539802906857
Golgi,vacuolar membrane,0.9269999999999999,0.015999999999999966
Golgi,vacuole,0.8630000000000001,0.008860022573334675
mitochondrion,nucleus,0.8790000000000001,0.019786358937409373
mitochondrion,nuclear periphery,0.908,0.011224972160321832
mitochondrion,nucleolus,0.931,0.01270826502713882
mitochondrion,spindle pole,0.8845000000000001,0.01258967831201417
mitochondrion,peroxisome,0.8634999999999999,0.015215124054702916
mitochondrion,vacuolar membrane,0.9145,0.020149441679609883
mitochondrion,vacuole,0.875,0.01294217910554477
nucleus,nuclear periphery,0.9075,0.00612372435695796
nucleus,nucleolus,0.8734999999999999,0.006999999999999997
nucleus,spindle pole,0.9045,0.010173494974687912
nucleus,peroxisome,0.9480000000000001,0.003316624790355396
nucleus,vacuolar membrane,0.9385,0.007348469228349513
nucleus,vacuole,0.9175000000000001,0.008366600265340756
nuclear periphery,nucleolus,0.929,0.005612486080160923
nuclear periphery,spindle pole,0.9334999999999999,0.005612486080160892
nuclear periphery,peroxisome,0.9654999999999999,0.008426149773176357
nuclear periphery,vacuolar membrane,0.9534999999999998,0.0117898261225516
nuclear periphery,vacuole,0.944,0.006819090848492921
nucleolus,spindle pole,0.906,0.011575836902790236
nucleolus,peroxisome,0.9675,0.004183300132670395
nucleolus,vacuolar membrane,0.968,0.010999999999999998
nucleolus,vacuole,0.9654999999999999,0.008573214099741131
spindle pole,peroxisome,0.9084999999999999,0.003391164991562647
spindle pole,vacuolar membrane,0.9480000000000001,0.011335784048754642
spindle pole,vacuole,0.901,0.009027735042633886
peroxisome,vacuolar membrane,0.9615,0.009433981132056596
peroxisome,vacuole,0.9380000000000001,0.012786711852544392
vacuolar membrane,vacuole,0.8404999999999999,0.018668154702594485
