Location1,Location2,Background,Accuracy,StdDev
actin,bud neck,actin,0.8965,0.011575836902790244
actin,bud neck,bud neck,0.8925000000000001,0.01431782106327636
actin,bud neck,cell periphery,0.8955,0.009669539802906888
actin,bud neck,cytoplasm,0.907,0.013266499161421622
actin,bud neck,endosome,0.8925000000000001,0.0135092560861063
actin,bud neck,ER,0.9035,0.0058309518948453055
actin,bud neck,Golgi,0.8875,0.013228756555322966
actin,bud neck,mitochondrion,0.8969999999999999,0.01886796226411321
actin,bud neck,nucleus,0.8925000000000001,0.010839741694339385
actin,bud neck,nuclear periphery,0.8859999999999999,0.008746427842267947
actin,bud neck,nucleolus,0.8845000000000001,0.018330302779823362
actin,bud neck,spindle pole,0.899,0.006041522986797307
actin,bud neck,peroxisome,0.9114999999999999,0.01309580085370883
actin,bud neck,vacuolar membrane,0.8915,0.015937377450509202
actin,bud neck,vacuole,0.8859999999999999,0.014106735979665856
actin,cell periphery,actin,0.9105000000000001,0.012980754985747186
actin,cell periphery,bud neck,0.909,0.01055935604097145
actin,cell periphery,cell periphery,0.9065,0.014456832294800975
actin,cell periphery,cytoplasm,0.9065000000000001,0.01067707825203133
actin,cell periphery,endosome,0.9095000000000001,0.010770329614269004
actin,cell periphery,ER,0.9199999999999999,0.01917028951268081
actin,cell periphery,Golgi,0.914,0.020772578077840987
actin,cell periphery,mitochondrion,0.9245000000000001,0.01208304597359457
actin,cell periphery,nucleus,0.9245000000000001,0.005099019513592805
actin,cell periphery,nuclear periphery,0.9195,0.011768602295939845
actin,cell periphery,nucleolus,0.914,0.008746427842267968
actin,cell periphery,spindle pole,0.9260000000000002,0.005830951894845304
actin,cell periphery,peroxisome,0.9260000000000002,0.007176350047203695
actin,cell periphery,vacuolar membrane,0.9015000000000001,0.013838352503098065
actin,cell periphery,vacuole,0.9175000000000001,0.002738612787525813
actin,cytoplasm,actin,0.9035,0.013285330255586458
actin,cytoplasm,bud neck,0.889,0.00916515138991165
actin,cytoplasm,cell periphery,0.8875,0.012549900398011104
actin,cytoplasm,cytoplasm,0.8895,0.009924716620639608
actin,cytoplasm,endosome,0.8859999999999999,0.028222331583340168
actin,cytoplasm,ER,0.8870000000000001,0.021412613105363864
actin,cytoplasm,Golgi,0.8859999999999999,0.014798648586948723
actin,cytoplasm,mitochondrion,0.8885,0.011789826122551611
actin,cytoplasm,nucleus,0.8869999999999999,0.018124568960391853
actin,cytoplasm,nuclear periphery,0.8895,0.01805547008526776
actin,cytoplasm,nucleolus,0.8809999999999999,0.013379088160259638
actin,cytoplasm,spindle pole,0.884,0.010793516572461435
actin,cytoplasm,peroxisome,0.891,0.015049916943292429
actin,cytoplasm,vacuolar membrane,0.874,0.016015617378046958
actin,cytoplasm,vacuole,0.8850000000000001,0.0158902485820707
actin,endosome,actin,0.89,0.02115419580130617
actin,endosome,bud neck,0.8935000000000001,0.004636809247747839
actin,endosome,cell periphery,0.891,0.012206555615733717
actin,endosome,cytoplasm,0.8924999999999998,0.02006240264773888
actin,endosome,endosome,0.8809999999999999,0.016926310879810762
actin,endosome,ER,0.8995000000000001,0.009539392014169467
actin,endosome,Golgi,0.881,0.020952326839756945
actin,endosome,mitochondrion,0.9165000000000001,0.005385164807134518
actin,endosome,nucleus,0.9,0.009746794344808985
actin,endosome,nuclear periphery,0.8965,0.00982344135219426
actin,endosome,nucleolus,0.9100000000000001,0.005244044240850773
actin,endosome,spindle pole,0.885,0.01581138830084187
actin,endosome,peroxisome,0.8975,0.01688194301613413
actin,endosome,vacuolar membrane,0.9019999999999999,0.020457272545478782
actin,endosome,vacuole,0.9059999999999999,0.010793516572461453
actin,ER,actin,0.8845000000000001,0.015443445211480495
actin,ER,bud neck,0.8854999999999998,0.013638181696985838
actin,ER,cell periphery,0.8675,0.016046806535881197
actin,ER,cytoplasm,0.873,0.014611639196202456
actin,ER,endosome,0.8720000000000001,0.011113055385446446
actin,ER,ER,0.8895,0.01133578404875464
actin,ER,Golgi,0.868,0.023738154940938432
actin,ER,mitochondrion,0.8859999999999999,0.0071763500472036635
actin,ER,nucleus,0.8825,0.00987420882906572
actin,ER,nuclear periphery,0.8775000000000001,0.01341640786499871
actin,ER,nucleolus,0.883,0.012288205727444483
actin,ER,spindle pole,0.8695,0.01391042774324354
actin,ER,peroxisome,0.8855000000000001,0.008717797887081345
actin,ER,vacuolar membrane,0.8725000000000002,0.011067971810589317
actin,ER,vacuole,0.8859999999999999,0.013928388277184093
actin,Golgi,actin,0.9039999999999999,0.011789826122551594
actin,Golgi,bud neck,0.9199999999999999,0.016046806535881204
actin,Golgi,cell periphery,0.8865000000000001,0.01428285685708572
actin,Golgi,cytoplasm,0.8939999999999999,0.006442049363362574
actin,Golgi,endosome,0.8885,0.013379088160259643
actin,Golgi,ER,0.8975,0.010368220676663844
actin,Golgi,Golgi,0.898,0.014265342617687119
actin,Golgi,mitochondrion,0.8985,0.008455767262643866
actin,Golgi,nucleus,0.885,0.009354143466934839
actin,Golgi,nuclear periphery,0.9075000000000001,0.014053469322555221
actin,Golgi,nucleolus,0.906,0.00815475321515007
actin,Golgi,spindle pole,0.8960000000000001,0.014966629547095779
actin,Golgi,peroxisome,0.9115,0.00874642784226795
actin,Golgi,vacuolar membrane,0.8875,0.022527760652137605
actin,Golgi,vacuole,0.8995,0.012186057606953958
actin,mitochondrion,actin,0.885,0.010954451150103297
actin,mitochondrion,bud neck,0.884,0.015858751527153717
actin,mitochondrion,cell periphery,0.875,0.010368220676663865
actin,mitochondrion,cytoplasm,0.8879999999999999,0.015280706789936116
actin,mitochondrion,endosome,0.8760000000000001,0.011022703842524293
actin,mitochondrion,ER,0.8930000000000001,0.018801595676963163
actin,mitochondrion,Golgi,0.8690000000000001,0.011357816691600518
actin,mitochondrion,mitochondrion,0.881,0.011247221879201968
actin,mitochondrion,nucleus,0.8560000000000001,0.010074720839804933
actin,mitochondrion,nuclear periphery,0.89,0.02573907535246751
actin,mitochondrion,nucleolus,0.8789999999999999,0.00930053761886912
actin,mitochondrion,spindle pole,0.884,0.013838352503098044
actin,mitochondrion,peroxisome,0.8805,0.01906567596493761
actin,mitochondrion,vacuolar membrane,0.8800000000000001,0.014053469322555185
actin,mitochondrion,vacuole,0.8915000000000001,0.007999999999999991
actin,nucleus,actin,0.9445,0.010653637876331236
actin,nucleus,bud neck,0.944,0.009565563234854503
actin,nucleus,cell periphery,0.944,0.011467344941179685
actin,nucleus,cytoplasm,0.942,0.0152807067899361
actin,nucleus,endosome,0.9495000000000001,0.012389511693363869
actin,nucleus,ER,0.9540000000000001,0.011135528725660043
actin,nucleus,Golgi,0.9465,0.010793516572461435
actin,nucleus,mitochondrion,0.95,0.00908295106229247
actin,nucleus,nucleus,0.9434999999999999,0.00681909084849291
actin,nucleus,nuclear periphery,0.9400000000000001,0.005916079783099603
actin,nucleus,nucleolus,0.943,0.009669539802906836
actin,nucleus,spindle pole,0.9399999999999998,0.012747548783981938
actin,nucleus,peroxisome,0.9545,0.009669539802906866
actin,nucleus,vacuolar membrane,0.9344999999999999,0.012489995996796767
actin,nucleus,vacuole,0.9425000000000001,0.011510864433221333
actin,nuclear periphery,actin,0.945,0.005700877125495695
