Location1,Location2,Accuracy,StdDev
actin,bud neck,0.7929999999999999,0.020396078054371162
actin,cell periphery,0.7979999999999999,0.018398369492974097
actin,cytoplasm,0.8255000000000001,0.01576388277043444
actin,endosome,0.724,0.015540270267920073
actin,ER,0.7655000000000001,0.014265342617687112
actin,Golgi,0.7370000000000001,0.017277152543171
actin,mitochondrion,0.6405,0.024000000000000018
actin,nucleus,0.752,0.018934096228761483
actin,nuclear periphery,0.7365,0.009949874371066193
actin,nucleolus,0.8385,0.013564659966250548
actin,spindle pole,0.7224999999999999,0.024135036772294328
actin,peroxisome,0.6094999999999999,0.021354156504062635
actin,vacuolar membrane,0.763,0.00509901951359279
actin,vacuole,0.8355,0.009669539802906845
bud neck,cell periphery,0.7464999999999999,0.015620499351813276
bud neck,cytoplasm,0.7144999999999999,0.01798610574860495
bud neck,endosome,0.7205,0.026897955312625538
bud neck,ER,0.7095,0.009924716620639606
bud neck,Golgi,0.69,0.023822258499143174
bud neck,mitochondrion,0.709,0.022113344387496
bud neck,nucleus,0.7425,0.026410225292488515
bud neck,nuclear periphery,0.8039999999999999,0.02581666128685115
bud neck,nucleolus,0.8805,0.011224972160321822
bud neck,spindle pole,0.783,0.023043437243605833
bud neck,peroxisome,0.757,0.013546217184144062
bud neck,vacuolar membrane,0.7365,0.013838352503098046
bud neck,vacuole,0.663,0.022214859891523043
cell periphery,cytoplasm,0.7435,0.023801260470823794
cell periphery,endosome,0.7575000000000001,0.0220794021658196
cell periphery,ER,0.694,0.02985799725366722
cell periphery,Golgi,0.7205,0.032611347718240674
cell periphery,mitochondrion,0.7755,0.014525839046333946
cell periphery,nucleus,0.8335000000000001,0.016777961735562532
cell periphery,nuclear periphery,0.833,0.01238951169336386
cell periphery,nucleolus,0.9245000000000001,0.00731436941916392
cell periphery,spindle pole,0.8295,0.024464259645450143
cell periphery,peroxisome,0.8065,0.016170961628796218
cell periphery,vacuolar membrane,0.7470000000000001,0.014781745499094492
cell periphery,vacuole,0.6849999999999999,0.019039432764659775
cytoplasm,endosome,0.768,0.018261982367749667
cytoplasm,ER,0.646,0.02482941803587027
cytoplasm,Golgi,0.702,0.02352658071203721
cytoplasm,mitochondrion,0.763,0.008999999999999984
cytoplasm,nucleus,0.8210000000000001,0.009300537618869117
cytoplasm,nuclear periphery,0.8419999999999999,0.013638181696985866
cytoplasm,nucleolus,0.9309999999999998,0.007681145747868606
cytoplasm,spindle pole,0.8480000000000001,0.009924716620639616
cytoplasm,peroxisome,0.8260000000000002,0.015215124054702937
cytoplasm,vacuolar membrane,0.7459999999999999,0.013656500283747661
cytoplasm,vacuole,0.7165000000000001,0.014966629547095787
endosome,ER,0.6505,0.014439529078193644
endosome,Golgi,0.6125,0.03664014192112253
endosome,mitochondrion,0.6519999999999999,0.021295539439046864
endosome,nucleus,0.6905,0.020024984394500782
endosome,nuclear periphery,0.6855,0.04023058537978287
endosome,nucleolus,0.8744999999999999,0.023043437243605837
endosome,spindle pole,0.7345,0.025758493744782538
endosome,peroxisome,0.6765,0.024320773014030624
endosome,vacuolar membrane,0.6184999999999999,0.02462722071204949
endosome,vacuole,0.694,0.02305428376679699
ER,Golgi,0.6195,0.021118712081942884
ER,mitochondrion,0.6869999999999999,0.0427609635064506
ER,nucleus,0.77,0.0038729833462074204
ER,nuclear periphery,0.7695,0.007648529270389207
ER,nucleolus,0.9039999999999999,0.00930053761886913
ER,spindle pole,0.8109999999999999,0.011789826122551604
ER,peroxisome,0.7555,0.013820274961085248
ER,vacuolar membrane,0.663,0.017986105748604948
ER,vacuole,0.675,0.021389249636207436
Golgi,mitochondrion,0.6395,0.016462077633154343
Golgi,nucleus,0.7515,0.03408078637590394
Golgi,nuclear periphery,0.7645000000000001,0.044452221541785734
Golgi,nucleolus,0.8939999999999999,0.016401219466856708
Golgi,spindle pole,0.7805,0.029891470355270223
Golgi,peroxisome,0.726,0.02321637353248779
Golgi,vacuolar membrane,0.675,0.018165902124584934
Golgi,vacuole,0.6725000000000001,0.01118033988749898
mitochondrion,nucleus,0.6445000000000001,0.02754087870784081
mitochondrion,nuclear periphery,0.673,0.0183983694929741
mitochondrion,nucleolus,0.8265,0.013928388277184092
mitochondrion,spindle pole,0.7154999999999999,0.012389511693363898
mitochondrion,peroxisome,0.6170000000000001,0.012980754985747186
mitochondrion,vacuolar membrane,0.671,0.01920937271229855
mitochondrion,vacuole,0.751,0.025377155080899036
nucleus,nuclear periphery,0.6719999999999999,0.020334699407662762
nucleus,nucleolus,0.77,0.027613402542968186
nucleus,spindle pole,0.6775,0.02274862633215465
nucleus,peroxisome,0.6780000000000002,0.021988633427296005
nucleus,vacuolar membrane,0.7255,0.013638181696985864
nucleus,vacuole,0.7994999999999999,0.018055470085267804
nuclear periphery,nucleolus,0.826,0.005612486080160903
nuclear periphery,spindle pole,0.7074999999999999,0.02459674775249768
nuclear periphery,peroxisome,0.686,0.018207141456033114
nuclear periphery,vacuolar membrane,0.671,0.0333391661563393
nuclear periphery,vacuole,0.8029999999999999,0.023947860029656085
nucleolus,spindle pole,0.7065,0.028398943642325855
nucleolus,peroxisome,0.7889999999999999,0.007516648189186443
nucleolus,vacuolar membrane,0.8744999999999999,0.014439529078193632
nucleolus,vacuole,0.9185000000000001,0.010319883720275176
spindle pole,peroxisome,0.6719999999999999,0.028913664589601942
spindle pole,vacuolar membrane,0.766,0.017860571099491747
spindle pole,vacuole,0.8140000000000001,0.03516390194503449
peroxisome,vacuolar membrane,0.716,0.009565563234854519
peroxisome,vacuole,0.8190000000000002,0.02077257807784098
vacuolar membrane,vacuole,0.6859999999999999,0.025278449319529092
