Location1,Location2,Accuracy,StdDev
actin,bud neck,0.7289999999999999,0.00489897948556636
actin,cell periphery,0.7515000000000001,0.026343879744638955
actin,cytoplasm,0.7045,0.02825774230188958
actin,endosome,0.703,0.01615549442140351
actin,ER,0.6635,0.014195069566578412
actin,Golgi,0.688,0.026711420778386154
actin,mitochondrion,0.6585,0.02537715508089907
actin,nucleus,0.7255,0.010416333327999835
actin,nuclear periphery,0.7594999999999998,0.01155422000829134
actin,nucleolus,0.7674999999999998,0.01843908891458578
actin,spindle pole,0.7230000000000001,0.017204650534085267
actin,peroxisome,0.666,0.02395829710142189
actin,vacuolar membrane,0.7415,0.020892582415776174
actin,vacuole,0.769,0.0046368092477478634
bud neck,cell periphery,0.7104999999999999,0.025563646062328436
bud neck,cytoplasm,0.6904999999999999,0.0074833147735478694
bud neck,endosome,0.645,0.013874436925511605
bud neck,ER,0.656,0.009695359714832666
bud neck,Golgi,0.6144999999999999,0.022102036105300343
bud neck,mitochondrion,0.647,0.014525839046333954
bud neck,nucleus,0.6990000000000001,0.024166091947189165
bud neck,nuclear periphery,0.752,0.024413111231467385
bud neck,nucleolus,0.8089999999999999,0.022449944320643622
bud neck,spindle pole,0.6325,0.016881943016134146
bud neck,peroxisome,0.627,0.022045407685048583
bud neck,vacuolar membrane,0.7129999999999999,0.010416333327999853
bud neck,vacuole,0.6035,0.024114311103574995
cell periphery,cytoplasm,0.7125,0.013416407864998746
cell periphery,endosome,0.7144999999999999,0.01770593120962581
cell periphery,ER,0.6725,0.0262202212042538
cell periphery,Golgi,0.7190000000000001,0.014106735979665908
cell periphery,mitochondrion,0.752,0.014089002803605354
cell periphery,nucleus,0.765,0.027477263328068158
cell periphery,nuclear periphery,0.8039999999999999,0.018681541692269408
cell periphery,nucleolus,0.8465,0.02723049760838018
cell periphery,spindle pole,0.736,0.027775888824662295
cell periphery,peroxisome,0.75,0.020554804791094467
cell periphery,vacuolar membrane,0.7555,0.024464259645450157
cell periphery,vacuole,0.703,0.03321897048374618
cytoplasm,endosome,0.6625,0.013874436925511636
cytoplasm,ER,0.6035,0.01537855649922968
cytoplasm,Golgi,0.6555,0.02619160170741758
cytoplasm,mitochondrion,0.6785,0.01901315334183155
cytoplasm,nucleus,0.6859999999999999,0.017435595774162708
cytoplasm,nuclear periphery,0.7275,0.016733200530681523
cytoplasm,nucleolus,0.7985,0.02267156809750929
cytoplasm,spindle pole,0.6779999999999999,0.0029154759474226376
cytoplasm,peroxisome,0.6935,0.006041522986797277
cytoplasm,vacuolar membrane,0.7030000000000001,0.01623268308074792
cytoplasm,vacuole,0.6925,0.01284523257866511
endosome,ER,0.6050000000000001,0.023769728648009403
endosome,Golgi,0.556,0.01907878402833888
endosome,mitochondrion,0.683,0.012186057606953916
endosome,nucleus,0.694,0.009027735042633886
endosome,nuclear periphery,0.7110000000000001,0.028530685235374192
endosome,nucleolus,0.8254999999999999,0.019899748742132416
endosome,spindle pole,0.6824999999999999,0.014916433890176288
endosome,peroxisome,0.6445000000000001,0.02993325909419151
endosome,vacuolar membrane,0.6305000000000001,0.011979148550710915
endosome,vacuole,0.628,0.021295539439046853
ER,Golgi,0.5915,0.01707337107896389
ER,mitochondrion,0.65,0.01837117307087385
ER,nucleus,0.6619999999999999,0.020024984394500803
ER,nuclear periphery,0.6950000000000001,0.020916500663351902
ER,nucleolus,0.8009999999999999,0.024929901724635824
ER,spindle pole,0.6535,0.015297058540778369
ER,peroxisome,0.6335,0.006442049363362556
ER,vacuolar membrane,0.6605,0.027313000567495336
ER,vacuole,0.6465,0.017146428199482262
Golgi,mitochondrion,0.6330000000000001,0.016077935190813523
Golgi,nucleus,0.683,0.012589678312014158
Golgi,nuclear periphery,0.7155,0.029043071462915217
Golgi,nucleolus,0.8114999999999999,0.029605742686174934
Golgi,spindle pole,0.6505,0.014525839046333954
Golgi,peroxisome,0.618,0.024413111231467385
Golgi,vacuolar membrane,0.6609999999999999,0.015700318468107592
Golgi,vacuole,0.6,0.018708286933869722
mitochondrion,nucleus,0.6169999999999999,0.016688319268278635
mitochondrion,nuclear periphery,0.6745000000000001,0.02808024216419796
mitochondrion,nucleolus,0.7180000000000001,0.013638181696985855
mitochondrion,spindle pole,0.5915,0.02817800560721074
mitochondrion,peroxisome,0.5385,0.013472193585307487
mitochondrion,vacuolar membrane,0.6445000000000001,0.0142653426176871
mitochondrion,vacuole,0.6799999999999999,0.006708203932499358
nucleus,nuclear periphery,0.606,0.027865749586185547
nucleus,nucleolus,0.6845,0.016155494421403502
nucleus,spindle pole,0.575,0.037148351242013405
nucleus,peroxisome,0.651,0.025029982021567674
nucleus,vacuolar membrane,0.6285000000000001,0.010198039027185541
nucleus,vacuole,0.703,0.019261360284258226
nuclear periphery,nucleolus,0.7204999999999999,0.0074833147735478694
nuclear periphery,spindle pole,0.6365000000000001,0.0228910462845192
nuclear periphery,peroxisome,0.674,0.014628738838327791
nuclear periphery,vacuolar membrane,0.6655,0.027901612856607437
nuclear periphery,vacuole,0.7310000000000001,0.0302737510064412
nucleolus,spindle pole,0.716,0.01914418971907666
nucleolus,peroxisome,0.7304999999999999,0.018801595676963143
nucleolus,vacuolar membrane,0.709,0.020161845153655954
nucleolus,vacuole,0.8035,0.020161845153655943
spindle pole,peroxisome,0.5715,0.033414068893207256
spindle pole,vacuolar membrane,0.6465,0.01601561737804696
spindle pole,vacuole,0.6715,0.0300665927567458
peroxisome,vacuolar membrane,0.6735,0.026580067720004045
peroxisome,vacuole,0.6645000000000001,0.02446425964545015
vacuolar membrane,vacuole,0.6495,0.00992471662063962
