Location1,Location2,Background,Accuracy,StdDev
actin,bud neck,actin,0.7565,0.022836374493338484
actin,bud neck,bud neck,0.7405,0.014611639196202455
actin,bud neck,cell periphery,0.744,0.016777961735562525
actin,bud neck,cytoplasm,0.768,0.019131126469708996
actin,bud neck,endosome,0.7505000000000001,0.017776388834631177
actin,bud neck,ER,0.7635,0.0202854627751008
actin,bud neck,Golgi,0.7605000000000001,0.012389511693363844
actin,bud neck,mitochondrion,0.7649999999999999,0.02241651177145991
actin,bud neck,nucleus,0.7729999999999999,0.013171939872319495
actin,bud neck,nuclear periphery,0.7605,0.007483314773547879
actin,bud neck,nucleolus,0.782,0.024052026941611397
actin,bud neck,spindle pole,0.7655,0.03026549190084309
actin,bud neck,peroxisome,0.7769999999999999,0.019455076458343712
actin,bud neck,vacuolar membrane,0.7595,0.01592168332809065
actin,bud neck,vacuole,0.7545,0.009539392014169451
actin,cell periphery,actin,0.704,0.012903487900563955
actin,cell periphery,bud neck,0.7194999999999999,0.026617663308412327
actin,cell periphery,cell periphery,0.6875,0.015572411502397432
actin,cell periphery,cytoplasm,0.6925,0.012247448713915901
actin,cell periphery,endosome,0.7135,0.01764936259472278
actin,cell periphery,ER,0.717,0.013910427743243553
actin,cell periphery,Golgi,0.7115,0.008306623862918104
actin,cell periphery,mitochondrion,0.7175,0.009354143466934868
actin,cell periphery,nucleus,0.6895,0.017131841699011805
actin,cell periphery,nuclear periphery,0.7030000000000001,0.015999999999999993
actin,cell periphery,nucleolus,0.7190000000000001,0.017291616465790607
actin,cell periphery,spindle pole,0.6950000000000001,0.017029386365926415
actin,cell periphery,peroxisome,0.6955,0.028870400066504112
actin,cell periphery,vacuolar membrane,0.7074999999999999,0.01942935922772545
actin,cell periphery,vacuole,0.7045000000000001,0.01544344521148049
actin,cytoplasm,actin,0.7255,0.020700241544484455
actin,cytoplasm,bud neck,0.716,0.02148255105894085
actin,cytoplasm,cell periphery,0.7025,0.026786190471957738
actin,cytoplasm,cytoplasm,0.706,0.007842193570679045
actin,cytoplasm,endosome,0.705,0.023926972228010785
actin,cytoplasm,ER,0.725,0.01483239697419132
actin,cytoplasm,Golgi,0.7060000000000001,0.008746427842267968
actin,cytoplasm,mitochondrion,0.7145,0.033068111527572906
actin,cytoplasm,nucleus,0.6980000000000001,0.011661903789690614
actin,cytoplasm,nuclear periphery,0.7045,0.01638596960817393
actin,cytoplasm,nucleolus,0.7185,0.021886068628239264
actin,cytoplasm,spindle pole,0.701,0.019532024984624606
actin,cytoplasm,peroxisome,0.712,0.012786711852544434
actin,cytoplasm,vacuolar membrane,0.7135,0.02547547840571397
actin,cytoplasm,vacuole,0.696,0.01210371843691019
actin,endosome,actin,0.7015,0.02634387974463898
actin,endosome,bud neck,0.7125,0.014577379737113264
actin,endosome,cell periphery,0.7024999999999999,0.010124228365658293
actin,endosome,cytoplasm,0.7260000000000001,0.010074720839804933
actin,endosome,endosome,0.7140000000000001,0.013656500283747685
actin,endosome,ER,0.729,0.016248076809271907
actin,endosome,Golgi,0.705,0.016278820596099714
actin,endosome,mitochondrion,0.7135,0.010677078252031342
actin,endosome,nucleus,0.7175,0.023769728648009407
actin,endosome,nuclear periphery,0.7175,0.02073644135332772
actin,endosome,nucleolus,0.7310000000000001,0.009949874371066193
actin,endosome,spindle pole,0.7234999999999999,0.02615339366124405
actin,endosome,peroxisome,0.7174999999999999,0.011937336386313314
actin,endosome,vacuolar membrane,0.7055,0.02657066051117283
actin,endosome,vacuole,0.712,0.018533752992850636
actin,ER,actin,0.6849999999999999,0.019039432764659754
actin,ER,bud neck,0.6729999999999999,0.0033166247903554094
actin,ER,cell periphery,0.6545,0.011113055385446467
actin,ER,cytoplasm,0.6785,0.022726636354727048
actin,ER,endosome,0.6705,0.014439529078193653
actin,ER,ER,0.6824999999999999,0.025149552679918585
actin,ER,Golgi,0.673,0.010295630140987017
actin,ER,mitochondrion,0.6660000000000001,0.013095800853708796
actin,ER,nucleus,0.6655,0.011000000000000018
actin,ER,nuclear periphery,0.6695,0.02633438816452738
actin,ER,nucleolus,0.6785,0.020223748416156664
actin,ER,spindle pole,0.673,0.020880613017821122
actin,ER,peroxisome,0.6539999999999999,0.014543039572248985
actin,ER,vacuolar membrane,0.6705,0.012083045973594582
actin,ER,vacuole,0.6705,0.03264965543462901
actin,Golgi,actin,0.7220000000000001,0.01913112646970897
actin,Golgi,bud neck,0.7125,0.02428991560298222
actin,Golgi,cell periphery,0.691,0.01793042107704111
actin,Golgi,cytoplasm,0.736,0.020408331631958543
actin,Golgi,endosome,0.7244999999999999,0.024869660230891783
actin,Golgi,ER,0.7195,0.016000000000000018
actin,Golgi,Golgi,0.7015,0.0076811457478686085
actin,Golgi,mitochondrion,0.7275,0.02252776065213762
actin,Golgi,nucleus,0.729,0.009027735042633886
actin,Golgi,nuclear periphery,0.7070000000000001,0.013546217184144059
actin,Golgi,nucleolus,0.72,0.01753567791675018
actin,Golgi,spindle pole,0.7165,0.017930421077041143
actin,Golgi,peroxisome,0.711,0.03116889475101741
actin,Golgi,vacuolar membrane,0.7030000000000001,0.026851443164195108
actin,Golgi,vacuole,0.7045,0.02633438816452738
actin,mitochondrion,actin,0.66,0.02966479394838264
actin,mitochondrion,bud neck,0.6415,0.009949874371066224
actin,mitochondrion,cell periphery,0.6415,0.009300537618869124
actin,mitochondrion,cytoplasm,0.6595,0.03287856444554719
actin,mitochondrion,endosome,0.642,0.015033296378372897
actin,mitochondrion,ER,0.6535,0.023270152556440202
actin,mitochondrion,Golgi,0.6525000000000001,0.021505813167606566
actin,mitochondrion,mitochondrion,0.6585000000000001,0.02294558781116754
actin,mitochondrion,nucleus,0.6745,0.01133578404875465
actin,mitochondrion,nuclear periphery,0.6305,0.014611639196202442
actin,mitochondrion,nucleolus,0.652,0.01880159567696317
actin,mitochondrion,spindle pole,0.6465,0.010319883720275157
actin,mitochondrion,peroxisome,0.6635,0.010319883720275154
actin,mitochondrion,vacuolar membrane,0.6305,0.015116216457830955
