Location1,Location2,Background,Accuracy,StdDev
actin,bud neck,actin,0.638,0.01668831926827865
actin,bud neck,bud neck,0.6345000000000001,0.024310491562286447
actin,bud neck,cell periphery,0.6415000000000001,0.026580067720004024
actin,bud neck,cytoplasm,0.6395,0.017846568297574743
actin,bud neck,endosome,0.6689999999999999,0.023162469643800934
actin,bud neck,ER,0.6504999999999999,0.01029563014098701
actin,bud neck,Golgi,0.6525000000000001,0.009999999999999992
actin,bud neck,mitochondrion,0.6305000000000001,0.014177446878757834
actin,bud neck,nucleus,0.657,0.02021138293140778
actin,bud neck,nuclear periphery,0.6485,0.01834393632784414
actin,bud neck,nucleolus,0.6519999999999999,0.019710403344427013
actin,bud neck,spindle pole,0.6605,0.008426149773176378
actin,bud neck,peroxisome,0.6355000000000001,0.016537835408541205
actin,bud neck,vacuolar membrane,0.6355000000000001,0.02772183255125822
actin,bud neck,vacuole,0.6315,0.013838352503098058
actin,cell periphery,actin,0.6905,0.019583156027566134
actin,cell periphery,bud neck,0.664,0.017930421077041125
actin,cell periphery,cell periphery,0.708,0.021059439688652717
actin,cell periphery,cytoplasm,0.6745,0.026286878856189817
actin,cell periphery,endosome,0.7230000000000001,0.020820662813657027
actin,cell periphery,ER,0.6975,0.019364916731037057
actin,cell periphery,Golgi,0.6915,0.028835741710592434
actin,cell periphery,mitochondrion,0.6795,0.029214722315983092
actin,cell periphery,nucleus,0.6819999999999999,0.02331308645374952
actin,cell periphery,nuclear periphery,0.713,0.015362291495737217
actin,cell periphery,nucleolus,0.7095,0.013171939872319478
actin,cell periphery,spindle pole,0.6935,0.008455767262643866
actin,cell periphery,peroxisome,0.694,0.025228951623085732
actin,cell periphery,vacuolar membrane,0.6835000000000001,0.022726636354727037
actin,cell periphery,vacuole,0.681,0.024166091947189165
actin,cytoplasm,actin,0.6785,0.00956556323485448
actin,cytoplasm,bud neck,0.659,0.027138533490223833
actin,cytoplasm,cell periphery,0.6529999999999999,0.017349351572897465
actin,cytoplasm,cytoplasm,0.632,0.026523574419749688
actin,cytoplasm,endosome,0.674,0.0228910462845192
actin,cytoplasm,ER,0.6635,0.020161845153655975
actin,cytoplasm,Golgi,0.6799999999999999,0.022967368155711695
actin,cytoplasm,mitochondrion,0.6459999999999999,0.03891015291668743
actin,cytoplasm,nucleus,0.6715000000000001,0.008455767262643911
actin,cytoplasm,nuclear periphery,0.6819999999999999,0.01646207763315433
actin,cytoplasm,nucleolus,0.6995000000000001,0.0143527000944073
actin,cytoplasm,spindle pole,0.665,0.028416544476765646
actin,cytoplasm,peroxisome,0.6689999999999999,0.025079872407968926
actin,cytoplasm,vacuolar membrane,0.6695,0.00927361849549572
actin,cytoplasm,vacuole,0.662,0.018533752992850618
actin,endosome,actin,0.5915,0.013747727084867538
actin,endosome,bud neck,0.5755,0.014949916387726045
actin,endosome,cell periphery,0.558,0.017349351572897468
actin,endosome,cytoplasm,0.577,0.03672192805395708
