Location1,Location2,Accuracy,StdDev
actin,bud neck,0.8239999999999998,0.010793516572461444
actin,cell periphery,0.7940000000000002,0.02532785028382788
actin,cytoplasm,0.7805,0.032031234756093964
actin,endosome,0.7685,0.01437010786319991
actin,ER,0.7379999999999999,0.025219040425836958
actin,Golgi,0.7380000000000001,0.021354156504062607
actin,mitochondrion,0.6745000000000001,0.03540480193420098
actin,nucleus,0.805,0.02156385865284784
actin,nuclear periphery,0.7595000000000001,0.02446425964545015
actin,nucleolus,0.8305,0.015604486534327236
actin,spindle pole,0.7645,0.019326148090087696
actin,peroxisome,0.6649999999999999,0.037181984885156415
actin,vacuolar membrane,0.7765000000000001,0.009165151389911698
actin,vacuole,0.849,0.010319883720275147
bud neck,cell periphery,0.738,0.00509901951359279
bud neck,cytoplasm,0.7160000000000001,0.010440306508910577
bud neck,endosome,0.689,0.013747727084867527
bud neck,ER,0.7255,0.01017349497468789
bud neck,Golgi,0.6665000000000001,0.025961509971494344
bud neck,mitochondrion,0.6679999999999999,0.021118712081942888
bud neck,nucleus,0.688,0.013360389215887367
bud neck,nuclear periphery,0.7449999999999999,0.015165750888103116
bud neck,nucleolus,0.8160000000000001,0.023853720883753142
bud neck,spindle pole,0.6805,0.019583156027566134
bud neck,peroxisome,0.7045,0.011335784048754618
bud neck,vacuolar membrane,0.733,0.017776388834631177
bud neck,vacuole,0.6529999999999999,0.011554220008291354
cell periphery,cytoplasm,0.6990000000000001,0.027413500323745583
cell periphery,endosome,0.7025,0.01816590212458493
cell periphery,ER,0.6375,0.01903943276465977
cell periphery,Golgi,0.6890000000000001,0.026673957336698292
cell periphery,mitochondrion,0.7324999999999999,0.020371548787463382
cell periphery,nucleus,0.7775,0.03166228039797513
cell periphery,nuclear periphery,0.78,0.030331501776206204
cell periphery,nucleolus,0.8654999999999999,0.009669539802906829
cell periphery,spindle pole,0.7665,0.028574464124459086
cell periphery,peroxisome,0.7705,0.006964194138592088
cell periphery,vacuolar membrane,0.6945,0.035334119488109515
cell periphery,vacuole,0.653,0.013820274961085259
cytoplasm,endosome,0.7025,0.014916433890176304
cytoplasm,ER,0.6245,0.008426149773176355
cytoplasm,Golgi,0.6875,0.030536862969204968
cytoplasm,mitochondrion,0.707,0.017705931209625783
cytoplasm,nucleus,0.717,0.02614383292480274
cytoplasm,nuclear periphery,0.7454999999999999,0.02331308645374953
cytoplasm,nucleolus,0.8379999999999999,0.01742125139018435
cytoplasm,spindle pole,0.756,0.021011901389450686
cytoplasm,peroxisome,0.747,0.017349351572897458
cytoplasm,vacuolar membrane,0.6910000000000001,0.01707337107896385
cytoplasm,vacuole,0.7070000000000001,0.030512292604784746
endosome,ER,0.6335,0.020037464909513858
endosome,Golgi,0.608,0.03490701935141413
endosome,mitochondrion,0.679,0.01953202498462461
endosome,nucleus,0.7015,0.032233522922572394
endosome,nuclear periphery,0.669,0.032962099447698984
endosome,nucleolus,0.8105,0.019962464777677127
endosome,spindle pole,0.709,0.025179356624028336
endosome,peroxisome,0.6735,0.013190905958272924
endosome,vacuolar membrane,0.6329999999999999,0.03381567683782182
endosome,vacuole,0.649,0.011135528725660053
ER,Golgi,0.623,0.0227705950734714
ER,mitochondrion,0.671,0.01462873883832778
ER,nucleus,0.725,0.019493588689617945
ER,nuclear periphery,0.6994999999999999,0.009669539802906853
ER,nucleolus,0.8355,0.02129553943904685
ER,spindle pole,0.7469999999999999,0.017204650534085226
ER,peroxisome,0.702,0.008276472678623427
ER,vacuolar membrane,0.6185,0.016324827717314486
ER,vacuole,0.6639999999999999,0.006999999999999984
Golgi,mitochondrion,0.6215,0.022113344387495997
Golgi,nucleus,0.705,0.006324555320336755
Golgi,nuclear periphery,0.6725000000000001,0.029664793948382652
Golgi,nucleolus,0.8140000000000001,0.029563490998188984
Golgi,spindle pole,0.6895,0.03276430985081177
Golgi,peroxisome,0.6465,0.029094673051952312
Golgi,vacuolar membrane,0.6575,0.025347583711273162
Golgi,vacuole,0.6895,0.01812456896039186
mitochondrion,nucleus,0.6725000000000001,0.009746794344808983
mitochondrion,nuclear periphery,0.6605000000000001,0.026048032555262224
mitochondrion,nucleolus,0.7735000000000001,0.01721917535772257
mitochondrion,spindle pole,0.6595000000000001,0.023999999999999997
